index,topic_name,KCs
1,variables & operators,Variable;SimpleVariable;SimpleDataTypeValue;SimpleDataType;AddExpression;AdditiveExpression;ArithmeticAssignmentExpression;MultiplicativeExpression;Operator;Expression
2,console I/O,JavaStandardLibraryClass;java.lang.System;JavaStandardLibraryMethod;java.lang.System.out.print;JavaStandardLibraryMethod;java.lang.System.out.println;JavaStandardLibraryObject;java.lang.System.in
3,booleans,SimpleDataType;BooleanDataType;BooleanValue;True;False;BooleanExpression;AndExpression;OrExpression;NotExpression;RelationalExpression;EqualExpression;NotEqualExpression
4,block & scope,Statement;StatementBlock;Variable;SimpleVariable;VariableInitializationStatement;DefinitionStatement
5,while loops,IterationStatement;WhileStatement;BooleanExpression;RelationalExpression;AssignmentExpression;Expression
6,text files,JavaStandardLibraryClass;java.util.Scanner;JavaStandardLibraryMethod;java.util.Scanner.nextInt;JavaStandardLibraryMethod;java.util.Scanner.nextDouble;JavaStandardLibraryMethod;java.util.Scanner.nextLine
7,for loops,IterationStatement;ForStatement;ForEachStatement;BooleanExpression;AssignmentExpression;Expression
8,methods,MethodDefinition;MethodSignature;Method;MethodInvocation;ObjectMethodInvocation;StaticMethod;StaticMethodInvocation;ReturnedValue
9,arrays,ClassDataType;ArrayDataType;Variable;ArrayElement;ObjectVariable;ArrayElement;VariableInitializationStatement;ArrayInitializationStatement;Value;ArrayInitializer;Value;ArrayLength
10,2 dimensional arrays (fundamental operations),ClassDataType;MultiDimensionalArrayDataType;Variable;MultiDimensionalArrayVariable;VariableInitializationStatement;MultiDimensionalArrayInitializationStatement;Value;MultiDimensionalArrayInitializer
11,recursion,Method;MethodInvocation;MethodDefinition;ReturnedValue;ControlFlow;Statement;SelectionStatement;IterationStatement
12,Exceptions (Ch. 11) (manually throwing exceptions),ExceptionHandlingStatement;ThrowStatement;TryCatchStatement;TryCatchFinallyStatement;JavaStandardLibraryClass;java.lang.Exception;JavaStandardLibraryClass;java.lang.Throwable;ExceptionClass
